sig_nm,lat,lon
서울특별시,126.978652258309,37.566826004661
부산광역시,129.075087492149,35.1798200522868
대구광역시,128.601805491072,35.8713802646197
인천광역시,126.705258070068,37.4560044656444
광주광역시,126.851629955742,35.1601037626662
대전광역시,127.38483484675,36.3505388992836
울산광역시,129.311603446508,35.5395955247058
세종특별자치시,127.289195324698,36.4800649113757
경기도,127.00892996953,37.2749769872425
강원도,127.729829010354,37.8853257858209
충청북도,127.491457326501,36.6353581959954
충청남도,126.672776193822,36.6588292532864
전라북도,127.108976712011,35.8201963639272
전라남도,126.462788333376,34.8160821478848
경상북도,128.505799255401,36.5759962255808
경상남도,128.69189688916,35.2377742104522
제주특별자치도,126.498229141199,33.4889179032603
